Age,Height(cm),Weight(kg),Veg/Non-Veg,Gender,Workout,Vegan,Protein_min(g),Protein_max(g)
33,167,116,Veg,F,True,True,139.2,174.0
42,153,51,Non-veg,F,False,False,61.2,76.5
26,160,44,Veg,F,False,True,52.8,66.0
38,155,108,Veg,F,True,False,129.6,162.0
18,162,106,Non-veg,M,True,False,159.0,190.8
45,162,54,Non-veg,M,False,True,81.0,97.2
45,184,73,Veg,M,False,False,109.5,131.4
59,168,60,Veg,F,True,True,72.0,90.0
33,167,42,Non-veg,F,True,False,50.4,63.0
25,170,78,Non-veg,F,False,False,93.6,117.0
43,166,104,Veg,F,True,True,124.8,156.0
36,178,42,Non-veg,M,False,False,63.0,75.6
46,185,53,Veg,M,True,True,79.5,95.4
47,153,58,Veg,F,True,False,69.6,87.0
50,168,102,Veg,M,False,True,153.0,183.6
43,185,65,Non-veg,M,False,False,97.5,117.0
37,169,56,Veg,M,True,False,84.0,100.8
49,180,104,Non-veg,M,True,False,156.0,187.2
35,169,81,Veg,M,False,False,121.5,145.8
42,152,108,Non-veg,F,True,False,129.6,162.0
20,161,110,Non-veg,F,True,True,132.0,165.0
54,181,92,Non-veg,M,False,True,138.0,165.6
42,160,61,Veg,F,True,True,73.2,91.5
59,165,53,Veg,M,False,True,79.5,95.4
36,168,89,Veg,F,True,True,106.8,133.5
49,183,44,Non-veg,M,True,True,66.0,79.2
31,162,92,Veg,F,True,True,110.4,138.0
48,153,45,Non-veg,F,False,False,54.0,67.5
59,166,47,Veg,M,True,True,70.5,84.6
33,161,66,Non-veg,M,False,False,99.0,118.8
49,178,68,Veg,M,True,False,102.0,122.4
42,175,40,Veg,M,True,False,60.0,72.0
32,173,112,Non-veg,M,True,False,168.0,201.6
53,153,40,Veg,F,True,False,48.0,60.0
52,160,41,Veg,F,True,False,49.2,61.5
49,162,40,Veg,M,False,False,60.0,72.0
60,151,119,Non-veg,F,True,True,142.8,178.5
21,168,105,Non-veg,F,True,False,126.0,157.5
21,167,117,Veg,F,False,True,140.4,175.5
49,188,63,Veg,M,True,False,94.5,113.4
55,158,64,Non-veg,F,False,True,76.8,96.0
42,169,49,Veg,M,True,True,73.5,88.2
45,161,79,Veg,F,False,False,94.8,118.5
47,181,50,Non-veg,M,True,True,75.0,90.0
26,178,44,Veg,M,True,True,66.0,79.2
41,170,97,Non-veg,M,False,True,145.5,174.6
58,163,52,Veg,F,True,False,62.4,78.0
35,182,74,Non-veg,M,False,False,111.0,133.2
24,185,58,Non-veg,M,False,True,87.0,104.4
40,159,92,Non-veg,F,False,False,110.4,138.0
25,168,42,Veg,M,True,False,63.0,75.6
31,173,98,Non-veg,M,True,True,147.0,176.4
25,188,90,Non-veg,M,True,True,135.0,162.0
47,158,70,Non-veg,F,True,False,84.0,105.0
39,150,95,Veg,F,False,False,114.0,142.5
51,160,46,Veg,F,True,True,55.2,69.0
31,152,111,Veg,F,True,False,133.2,166.5
18,166,114,Non-veg,M,False,True,171.0,205.2
53,170,61,Non-veg,F,False,False,73.2,91.5
42,155,89,Non-veg,F,False,True,106.8,133.5
52,165,54,Non-veg,F,True,False,64.8,81.0
41,167,96,Non-veg,F,True,True,115.2,144.0
52,185,106,Veg,M,True,False,159.0,190.8
52,178,81,Veg,M,True,False,121.5,145.8
38,171,70,Non-veg,M,False,True,105.0,126.0
33,182,114,Veg,M,True,True,171.0,205.2
26,178,62,Non-veg,M,True,True,93.0,111.6
20,170,90,Veg,F,False,False,108.0,135.0
32,186,63,Veg,M,False,False,94.5,113.4
48,150,57,Veg,F,True,False,68.4,85.5
36,166,105,Non-veg,M,True,True,157.5,189.0
26,171,41,Veg,M,False,False,61.5,73.8
55,150,41,Veg,F,False,False,49.2,61.5
45,157,66,Non-veg,F,True,False,79.2,99.0
60,167,44,Veg,F,True,False,52.8,66.0
49,171,112,Non-veg,M,True,True,168.0,201.6
59,176,79,Veg,M,True,False,118.5,142.2
36,157,106,Veg,F,True,True,127.2,159.0
34,153,77,Non-veg,F,True,False,92.4,115.5
29,155,97,Veg,F,False,False,116.4,145.5
39,169,63,Non-veg,F,True,False,75.6,94.5
32,179,58,Non-veg,M,True,False,87.0,104.4
26,178,61,Non-veg,M,False,False,91.5,109.8
56,177,65,Veg,M,True,True,97.5,117.0
18,151,69,Veg,F,True,False,82.8,103.5
40,189,74,Non-veg,M,False,False,111.0,133.2
30,186,73,Veg,M,False,True,109.5,131.4
26,162,55,Veg,F,True,False,66.0,82.5
55,183,83,Non-veg,M,True,True,124.5,149.4
54,186,91,Non-veg,M,True,True,136.5,163.8
54,159,63,Veg,F,True,True,75.6,94.5
50,176,91,Veg,M,False,True,136.5,163.8
59,187,71,Non-veg,M,False,False,106.5,127.8
44,189,69,Non-veg,M,False,False,103.5,124.2
29,153,76,Non-veg,F,False,True,91.2,114.0
54,179,65,Non-veg,M,False,False,97.5,117.0
47,161,85,Veg,F,False,False,102.0,127.5
29,185,92,Veg,M,False,False,138.0,165.6
29,185,79,Veg,M,True,False,118.5,142.2
59,171,45,Non-veg,M,False,False,67.5,81.0
25,155,69,Veg,F,False,True,82.8,103.5
46,180,100,Veg,M,True,True,150.0,180.0
34,166,101,Veg,M,True,True,151.5,181.8
45,153,81,Veg,F,True,False,97.2,121.5
34,160,53,Veg,M,False,False,79.5,95.4
51,155,56,Veg,F,False,True,67.2,84.0
30,153,80,Veg,F,True,True,96.0,120.0
26,176,63,Non-veg,M,True,True,94.5,113.4
22,156,114,Non-veg,F,True,False,136.8,171.0
54,157,85,Non-veg,F,True,False,102.0,127.5
40,177,98,Veg,M,False,False,147.0,176.4
25,163,69,Veg,F,False,True,82.8,103.5
59,179,88,Veg,M,True,False,132.0,158.4
29,152,63,Non-veg,F,True,False,75.6,94.5
26,179,103,Non-veg,M,False,True,154.5,185.4
30,168,93,Non-veg,F,True,True,111.6,139.5
39,155,71,Veg,F,True,True,85.2,106.5
30,159,89,Non-veg,F,False,False,106.8,133.5
